,NOC,Sport,count
506,BRA,Water Polo,96
507,BRA,Weightlifting,25
508,BRA,Wrestling,13
509,BRN,Athletics,73
510,BRN,Cycling,7
511,BRN,Fencing,7
512,BRN,Modern Pentathlon,12
513,BRN,Sailing,5
514,BRN,Shooting,9
515,BRN,Swimming,12
516,BRN,Wrestling,1
517,BRU,Athletics,6
518,BRU,Badminton,1
519,BRU,Shooting,2
520,BRU,Swimming,1
521,BUL,Alpine Skiing,143
522,BUL,Archery,7
523,BUL,Art Competitions,5
524,BUL,Athletics,306
525,BUL,Badminton,32
526,BUL,Basketball,85
527,BUL,Beach Volleyball,4
528,BUL,Biathlon,139
529,BUL,Bobsleigh,20
530,BUL,Boxing,99
531,BUL,Canoeing,133
532,BUL,Cross Country Skiing,176
533,BUL,Cycling,81
534,BUL,Diving,5
535,BUL,Equestrianism,75
536,BUL,Fencing,46
537,BUL,Figure Skating,18
538,BUL,Football,69
539,BUL,Gymnastics,974
540,BUL,Ice Hockey,18
541,BUL,Judo,27
542,BUL,Luge,12
543,BUL,Modern Pentathlon,28
544,BUL,Nordic Combined,1
545,BUL,Rhythmic Gymnastics,48
546,BUL,Rowing,176
547,BUL,Sailing,11
548,BUL,Shooting,141
549,BUL,Short Track Speed Skating,31
550,BUL,Ski Jumping,23
551,BUL,Snowboarding,8
552,BUL,Swimming,124
553,BUL,Synchronized Swimming,2
554,BUL,Table Tennis,3
555,BUL,Tennis,16
556,BUL,Volleyball,106
557,BUL,Water Polo,22
558,BUL,Weightlifting,93
559,BUL,Wrestling,223
560,BUR,Athletics,26
561,BUR,Boxing,4
562,BUR,Fencing,1
563,BUR,Judo,6
564,BUR,Swimming,7
565,CAF,Archery,1
566,CAF,Athletics,29
567,CAF,Basketball,12
568,CAF,Boxing,6
569,CAF,Cycling,7
570,CAF,Judo,4
571,CAF,Swimming,3
572,CAF,Taekwondo,4
573,CAF,Wrestling,1
574,CAM,Athletics,17
575,CAM,Boxing,5
576,CAM,Cycling,8
577,CAM,Equestrianism,2
578,CAM,Judo,1
579,CAM,Sailing,3
580,CAM,Swimming,23
581,CAM,Taekwondo,2
582,CAM,Wrestling,2
583,CAN,Alpine Skiing,419
584,CAN,Archery,46
585,CAN,Art Competitions,83
586,CAN,Athletics,1153
587,CAN,Badminton,61
588,CAN,Baseball,48
589,CAN,Basketball,178
590,CAN,Beach Volleyball,26
591,CAN,Biathlon,152
592,CAN,Bobsleigh,169
593,CAN,Boxing,141
594,CAN,Canoeing,300
595,CAN,Cross Country Skiing,371
596,CAN,Curling,48
597,CAN,Cycling,322
598,CAN,Diving,156
599,CAN,Equestrianism,260
600,CAN,Fencing,258
601,CAN,Figure Skating,228
602,CAN,Football,95
603,CAN,Freestyle Skiing,103
604,CAN,Golf,7
605,CAN,Gymnastics,705
606,CAN,Handball,28
607,CAN,Hockey,155
608,CAN,Ice Hockey,469
609,CAN,Judo,81
610,CAN,Lacrosse,36
611,CAN,Luge,91
612,CAN,Modern Pentathlon,29
613,CAN,Nordic Combined,22
614,CAN,Rhythmic Gymnastics,15
615,CAN,Rowing,559
616,CAN,Rugby Sevens,12
617,CAN,Sailing,212
618,CAN,Shooting,223
619,CAN,Short Track Speed Skating,153
620,CAN,Skeleton,20
621,CAN,Ski Jumping,115
622,CAN,Snowboarding,88
623,CAN,Softball,60
624,CAN,Speed Skating,433
625,CAN,Swimming,995
626,CAN,Synchronized Swimming,67
627,CAN,Table Tennis,45
628,CAN,Taekwondo,10
629,CAN,Tennis,57
630,CAN,Trampolining,13
631,CAN,Triathlon,25
632,CAN,Volleyball,84
633,CAN,Water Polo,74
634,CAN,Weightlifting,59
635,CAN,Wrestling,174
636,CAY,Alpine Skiing,3
637,CAY,Athletics,17
638,CAY,Cycling,31
639,CAY,Sailing,16
640,CAY,Swimming,16
641,CGO,Athletics,58
642,CGO,Boxing,5
643,CGO,Fencing,1
644,CGO,Handball,14
645,CGO,Judo,7
646,CGO,Swimming,12
647,CGO,Table Tennis,8
648,CHA,Athletics,37
649,CHA,Boxing,1
650,CHA,Judo,3
651,CHI,Alpine Skiing,162
652,CHI,Archery,3
653,CHI,Athletics,167
654,CHI,Basketball,43
655,CHI,Beach Volleyball,2
656,CHI,Biathlon,8
657,CHI,Boxing,38
658,CHI,Canoeing,2
659,CHI,Cross Country Skiing,1
660,CHI,Cycling,88
661,CHI,Diving,4
662,CHI,Equestrianism,51
663,CHI,Fencing,45
664,CHI,Football,53
665,CHI,Freestyle Skiing,2
666,CHI,Golf,1
667,CHI,Gymnastics,12
668,CHI,Judo,6
669,CHI,Modern Pentathlon,23
670,CHI,Rowing,31
671,CHI,Sailing,27
672,CHI,Shooting,53
673,CHI,Swimming,28
674,CHI,Table Tennis,31
675,CHI,Taekwondo,3
676,CHI,Tennis,21
677,CHI,Triathlon,5
678,CHI,Water Polo,8
679,CHI,Weightlifting,6
680,CHI,Wrestling,1
681,CHN,Alpine Skiing,32
682,CHN,Archery,98
683,CHN,Art Competitions,5
684,CHN,Athletics,457
685,CHN,Badminton,129
686,CHN,Baseball,24
687,CHN,Basketball,223
688,CHN,Beach Volleyball,20
689,CHN,Biathlon,129
690,CHN,Boxing,50
691,CHN,Canoeing,111
692,CHN,Cross Country Skiing,136
693,CHN,Curling,17
694,CHN,Cycling,96
695,CHN,Diving,112
696,CHN,Equestrianism,11
697,CHN,Fencing,227
698,CHN,Figure Skating,70
699,CHN,Football,129
700,CHN,Freestyle Skiing,39
701,CHN,Golf,4
702,CHN,Gymnastics,641
703,CHN,Handball,81
704,CHN,Hockey,97
705,CHN,Ice Hockey,58
706,CHN,Judo,82
707,CHN,Modern Pentathlon,19
708,CHN,Rhythmic Gymnastics,35
709,CHN,Rowing,170
710,CHN,Sailing,60
711,CHN,Shooting,236
712,CHN,Short Track Speed Skating,140
713,CHN,Ski Jumping,8
714,CHN,Snowboarding,13
715,CHN,Softball,60
716,CHN,Speed Skating,176
717,CHN,Swimming,506
718,CHN,Synchronized Swimming,72
719,CHN,Table Tennis,100
720,CHN,Taekwondo,16
721,CHN,Tennis,51
722,CHN,Trampolining,14
723,CHN,Triathlon,11
724,CHN,Volleyball,126
725,CHN,Water Polo,76
726,CHN,Weightlifting,93
727,CHN,Wrestling,81
728,CIV,Archery,2
729,CIV,Athletics,100
730,CIV,Boxing,8
731,CIV,Canoeing,20
732,CIV,Fencing,1
733,CIV,Football,16
734,CIV,Handball,14
735,CIV,Judo,11
736,CIV,Swimming,8
