,Weight,Sport,count
643,57.0,Synchronized Swimming,57
644,57.0,Table Tennis,22
645,57.0,Taekwondo,61
646,57.0,Tennis,36
647,57.0,Trampolining,8
648,57.0,Triathlon,17
649,57.0,Volleyball,15
650,57.0,Water Polo,2
651,57.0,Weightlifting,13
652,57.0,Wrestling,306
653,57.5,Athletics,7
654,57.5,Weightlifting,5
655,58.0,Alpine Skiing,136
656,58.0,Archery,65
657,58.0,Athletics,1115
658,58.0,Badminton,62
659,58.0,Basketball,20
660,58.0,Beach Volleyball,1
661,58.0,Biathlon,156
662,58.0,Boxing,17
663,58.0,Canoeing,55
664,58.0,Cross Country Skiing,364
665,58.0,Curling,13
666,58.0,Cycling,142
667,58.0,Diving,55
668,58.0,Equestrianism,109
669,58.0,Fencing,175
670,58.0,Figure Skating,29
671,58.0,Football,76
672,58.0,Freestyle Skiing,31
673,58.0,Golf,3
674,58.0,Gymnastics,783
675,58.0,Handball,34
676,58.0,Hockey,150
677,58.0,Ice Hockey,24
678,58.0,Judo,9
679,58.0,Luge,10
680,58.0,Modern Pentathlon,20
681,58.0,Nordic Combined,17
682,58.0,Rhythmic Gymnastics,12
683,58.0,Rowing,33
684,58.0,Rugby Sevens,10
685,58.0,Sailing,64
686,58.0,Shooting,114
687,58.0,Short Track Speed Skating,56
688,58.0,Skeleton,10
689,58.0,Ski Jumping,57
690,58.0,Snowboarding,42
691,58.0,Softball,20
692,58.0,Speed Skating,166
693,58.0,Swimming,468
694,58.0,Synchronized Swimming,74
695,58.0,Table Tennis,99
696,58.0,Taekwondo,56
697,58.0,Tennis,62
698,58.0,Trampolining,5
699,58.0,Triathlon,14
700,58.0,Volleyball,12
701,58.0,Water Polo,8
702,58.0,Weightlifting,99
703,58.0,Wrestling,91
704,58.5,Wrestling,3
705,59.0,Alpine Skiing,127
706,59.0,Archery,58
707,59.0,Art Competitions,4
708,59.0,Athletics,791
709,59.0,Badminton,52
710,59.0,Baseball,1
711,59.0,Basketball,7
712,59.0,Beach Volleyball,5
713,59.0,Biathlon,114
714,59.0,Boxing,28
715,59.0,Canoeing,50
716,59.0,Cross Country Skiing,158
717,59.0,Curling,8
718,59.0,Cycling,110
719,59.0,Diving,42
720,59.0,Equestrianism,70
721,59.0,Fencing,159
722,59.0,Figure Skating,22
723,59.0,Football,72
724,59.0,Freestyle Skiing,31
725,59.0,Golf,1
726,59.0,Gymnastics,646
727,59.0,Handball,25
728,59.0,Hockey,121
729,59.0,Ice Hockey,18
730,59.0,Judo,19
731,59.0,Luge,9
732,59.0,Modern Pentathlon,7
733,59.0,Nordic Combined,34
734,59.0,Rhythmic Gymnastics,4
735,59.0,Rowing,76
736,59.0,Rugby Sevens,2
737,59.0,Sailing,46
738,59.0,Shooting,72
739,59.0,Short Track Speed Skating,34
740,59.0,Skeleton,3
741,59.0,Ski Jumping,58
742,59.0,Snowboarding,17
743,59.0,Softball,9
744,59.0,Speed Skating,121
745,59.0,Swimming,425
746,59.0,Synchronized Swimming,43
747,59.0,Table Tennis,54
748,59.0,Taekwondo,4
749,59.0,Tennis,70
750,59.0,Trampolining,6
751,59.0,Triathlon,16
752,59.0,Volleyball,30
753,59.0,Water Polo,11
754,59.0,Weightlifting,81
755,59.0,Wrestling,41
756,59.5,Athletics,2
757,59.5,Boxing,2
758,59.5,Cross Country Skiing,11
759,59.5,Speed Skating,7
760,59.5,Weightlifting,18
761,59.5,Wrestling,1
762,60.0,Alpine Skiing,330
763,60.0,Archery,87
764,60.0,Athletics,1439
765,60.0,Badminton,58
766,60.0,Basketball,40
767,60.0,Beach Volleyball,7
768,60.0,Biathlon,219
769,60.0,Bobsleigh,4
770,60.0,Boxing,421
771,60.0,Canoeing,106
772,60.0,Cross Country Skiing,356
773,60.0,Curling,14
774,60.0,Cycling,254
775,60.0,Diving,112
776,60.0,Equestrianism,225
777,60.0,Fencing,186
778,60.0,Figure Skating,31
779,60.0,Football,120
780,60.0,Freestyle Skiing,35
781,60.0,Golf,5
782,60.0,Gymnastics,774
783,60.0,Handball,44
784,60.0,Hockey,159
785,60.0,Ice Hockey,52
786,60.0,Judo,235
787,60.0,Lacrosse,1
788,60.0,Luge,33
789,60.0,Modern Pentathlon,42
790,60.0,Nordic Combined,49
791,60.0,Rhythmic Gymnastics,3
792,60.0,Rowing,59
793,60.0,Rugby Sevens,6
794,60.0,Sailing,109
795,60.0,Shooting,265
796,60.0,Short Track Speed Skating,114
797,60.0,Skeleton,6
798,60.0,Ski Jumping,190
799,60.0,Snowboarding,37
800,60.0,Softball,34
801,60.0,Speed Skating,135
802,60.0,Swimming,807
803,60.0,Synchronized Swimming,59
804,60.0,Table Tennis,133
805,60.0,Tennis,126
806,60.0,Trampolining,4
807,60.0,Triathlon,24
808,60.0,Volleyball,57
809,60.0,Water Polo,16
810,60.0,Weightlifting,192
811,60.0,Wrestling,180
812,60.5,Canoeing,2
813,60.5,Swimming,2
814,60.5,Weightlifting,7
815,60.5,Wrestling,7
816,61.0,Alpine Skiing,118
817,61.0,Archery,44
818,61.0,Athletics,793
819,61.0,Badminton,43
820,61.0,Basketball,35
821,61.0,Beach Volleyball,4
822,61.0,Biathlon,90
823,61.0,Bobsleigh,4
