,Sport,Year,NOC,count
3421,Athletics,2008,CRC,3
3422,Athletics,2008,CRO,10
3423,Athletics,2008,CUB,48
3424,Athletics,2008,CYP,6
3425,Athletics,2008,CZE,30
3426,Athletics,2008,DEN,3
3427,Athletics,2008,DJI,2
3428,Athletics,2008,DMA,2
3429,Athletics,2008,DOM,7
3430,Athletics,2008,ECU,12
3431,Athletics,2008,EGY,4
3432,Athletics,2008,ERI,11
3433,Athletics,2008,ESA,2
3434,Athletics,2008,ESP,55
3435,Athletics,2008,EST,14
3436,Athletics,2008,ETH,29
3437,Athletics,2008,FIJ,2
3438,Athletics,2008,FIN,19
3439,Athletics,2008,FRA,51
3440,Athletics,2008,FSM,2
3441,Athletics,2008,GAB,2
3442,Athletics,2008,GAM,2
3443,Athletics,2008,GBR,71
3444,Athletics,2008,GBS,2
3445,Athletics,2008,GEO,2
3446,Athletics,2008,GEQ,2
3447,Athletics,2008,GER,55
3448,Athletics,2008,GHA,3
3449,Athletics,2008,GRE,33
3450,Athletics,2008,GRN,8
3451,Athletics,2008,GUA,4
3452,Athletics,2008,GUI,2
3453,Athletics,2008,GUM,2
3454,Athletics,2008,GUY,3
3455,Athletics,2008,HAI,4
3456,Athletics,2008,HKG,2
3457,Athletics,2008,HON,3
3458,Athletics,2008,HUN,20
3459,Athletics,2008,INA,2
3460,Athletics,2008,IND,15
3461,Athletics,2008,IRI,6
3462,Athletics,2008,IRL,17
3463,Athletics,2008,IRQ,2
3464,Athletics,2008,ISL,3
3465,Athletics,2008,ISR,4
3466,Athletics,2008,ISV,3
3467,Athletics,2008,ITA,49
3468,Athletics,2008,IVB,2
3469,Athletics,2008,JAM,61
3470,Athletics,2008,JOR,2
3471,Athletics,2008,JPN,51
3472,Athletics,2008,KAZ,20
3473,Athletics,2008,KEN,37
3474,Athletics,2008,KGZ,5
3475,Athletics,2008,KIR,1
3476,Athletics,2008,KOR,17
3477,Athletics,2008,KSA,8
3478,Athletics,2008,KUW,2
3479,Athletics,2008,LAO,2
3480,Athletics,2008,LAT,16
3481,Athletics,2008,LBA,2
3482,Athletics,2008,LBR,4
3483,Athletics,2008,LCA,3
