NOC,Sport,Unnamed: 0,count
MEX,Canoeing,7452,1
MOZ,Canoeing,7453,4
NGR,Canoeing,7454,1
NZL,Canoeing,7455,9
PLW,Canoeing,7456,2
POL,Canoeing,7457,19
POR,Canoeing,7458,11
RSA,Canoeing,7459,2
RUS,Canoeing,7460,18
SAM,Canoeing,7461,2
SEN,Canoeing,7462,1
SLO,Canoeing,7463,7
SRB,Canoeing,7464,18
STP,Canoeing,7465,1
SUI,Canoeing,7466,3
SVK,Canoeing,7467,15
SWE,Canoeing,7468,6
TUN,Canoeing,7469,3
TUR,Canoeing,7470,2
UKR,Canoeing,7471,12
USA,Canoeing,7472,7
UZB,Canoeing,7473,5
ALG,Cycling,9224,2
ARG,Cycling,9225,7
AUS,Cycling,9226,43
AUT,Cycling,9227,5
AZE,Cycling,9228,4
BEL,Cycling,9229,17
BLR,Cycling,9230,7
BOL,Cycling,9231,1
BRA,Cycling,9232,10
BUL,Cycling,9233,1
CAN,Cycling,9234,27
CHI,Cycling,9235,2
CHN,Cycling,9236,18
COL,Cycling,9237,16
CRC,Cycling,9238,3
CRO,Cycling,9239,2
CUB,Cycling,9240,4
CYP,Cycling,9241,1
CZE,Cycling,9242,12
DEN,Cycling,9243,15
DOM,Cycling,9244,1
ECU,Cycling,9245,2
EGY,Cycling,9246,1
ERI,Cycling,9247,1
ESP,Cycling,9248,18
EST,Cycling,9249,2
ETH,Cycling,9250,1
FIN,Cycling,9251,2
FRA,Cycling,9252,33
GBR,Cycling,9253,34
GER,Cycling,9254,42
GRE,Cycling,9255,3
GUA,Cycling,9256,1
GUM,Cycling,9257,1
HKG,Cycling,9258,6
HUN,Cycling,9259,1
INA,Cycling,9260,1
IRI,Cycling,9261,4
IRL,Cycling,9262,3
ISR,Cycling,9263,2
ITA,Cycling,9264,26
JPN,Cycling,9265,11
KAZ,Cycling,9266,4
KOR,Cycling,9267,12
KOS,Cycling,9268,1
LAO,Cycling,9269,1
LAT,Cycling,9270,4
LES,Cycling,9271,1
LTU,Cycling,9272,5
LUX,Cycling,9273,4
MAR,Cycling,9274,4
MAS,Cycling,9275,2
MEX,Cycling,9276,4
NAM,Cycling,9277,4
NED,Cycling,9278,38
NOR,Cycling,9279,9
NZL,Cycling,9280,29
POL,Cycling,9281,24
POR,Cycling,9282,7
PUR,Cycling,9283,1
ROU,Cycling,9284,1
RSA,Cycling,9285,8
RUS,Cycling,9286,19
RWA,Cycling,9287,2
SLO,Cycling,9288,7
SRB,Cycling,9289,2
SUI,Cycling,9290,17
SVK,Cycling,9291,2
SWE,Cycling,9292,4
THA,Cycling,9293,2
TLS,Cycling,9294,1
TPE,Cycling,9295,2
TTO,Cycling,9296,1
TUN,Cycling,9297,1
TUR,Cycling,9298,3
UAE,Cycling,9299,1
UKR,Cycling,9300,9
USA,Cycling,9301,25
VEN,Cycling,9302,13
AUS,Diving,9856,10
AUT,Diving,9857,1
BLR,Diving,9858,2
BRA,Diving,9859,12
CAN,Diving,9860,11
CHN,Diving,9861,16
COL,Diving,9862,4
CRO,Diving,9863,1
EGY,Diving,9864,4
FRA,Diving,9865,3
GBR,Diving,9866,15
GER,Diving,9867,14
HUN,Diving,9868,1
IRL,Diving,9869,1
ITA,Diving,9870,10
JAM,Diving,9871,1
JPN,Diving,9872,3
KOR,Diving,9873,2
MAS,Diving,9874,10
MEX,Diving,9875,14
NED,Diving,9876,1
NZL,Diving,9877,1
PRK,Diving,9878,4
PUR,Diving,9879,1
RSA,Diving,9880,1
RUS,Diving,9881,12
UKR,Diving,9882,7
USA,Diving,9883,14
VEN,Diving,9884,2
ARG,Equestrianism,10458,8
AUS,Equestrianism,10459,24
AUT,Equestrianism,10460,1
BEL,Equestrianism,10461,5
BRA,Equestrianism,10462,24
CAN,Equestrianism,10463,18
CHI,Equestrianism,10464,1
CHN,Equestrianism,10465,1
COL,Equestrianism,10466,2
DEN,Equestrianism,10467,8
DOM,Equestrianism,10468,1
ECU,Equestrianism,10469,1
EGY,Equestrianism,10470,1
ESP,Equestrianism,10471,17
FIN,Equestrianism,10472,1
FRA,Equestrianism,10473,24
GBR,Equestrianism,10474,24
GER,Equestrianism,10475,24
IRL,Equestrianism,10476,10
ITA,Equestrianism,10477,10
JPN,Equestrianism,10478,18
KOR,Equestrianism,10479,1
MAR,Equestrianism,10480,1
MEX,Equestrianism,10481,1
NED,Equestrianism,10482,24
NZL,Equestrianism,10483,9
PER,Equestrianism,10484,1
PLE,Equestrianism,10485,1
POL,Equestrianism,10486,1
POR,Equestrianism,10487,1
PUR,Equestrianism,10488,1
QAT,Equestrianism,10489,8
RSA,Equestrianism,10490,1
RUS,Equestrianism,10491,8
SUI,Equestrianism,10492,11
SWE,Equestrianism,10493,24
TPE,Equestrianism,10494,1
TUR,Equestrianism,10495,1
UKR,Equestrianism,10496,9
URU,Equestrianism,10497,1
USA,Equestrianism,10498,24
VEN,Equestrianism,10499,2
ZIM,Equestrianism,10500,1
ALG,Fencing,11299,2
ARG,Fencing,11300,1
AUT,Fencing,11301,1
AZE,Fencing,11302,1
BEL,Fencing,11303,1
BEN,Fencing,11304,1
BLR,Fencing,11305,1
BRA,Fencing,11306,25
BUL,Fencing,11307,1
CAN,Fencing,11308,5
CHN,Fencing,11309,19
CIV,Fencing,11310,1
COL,Fencing,11311,2
CUB,Fencing,11312,1
CZE,Fencing,11313,2
EGY,Fencing,11314,11
EST,Fencing,11315,8
FRA,Fencing,11316,31
GBR,Fencing,11317,7
GEO,Fencing,11318,1
GER,Fencing,11319,4
GRE,Fencing,11320,2
HKG,Fencing,11321,3
HUN,Fencing,11322,13
IOA,Fencing,11323,1
IRI,Fencing,11324,2
ITA,Fencing,11325,26
JPN,Fencing,11326,6
KAZ,Fencing,11327,1
KOR,Fencing,11328,25
KSA,Fencing,11329,1
LIB,Fencing,11330,1
MAR,Fencing,11331,1
MEX,Fencing,11332,10
NED,Fencing,11333,1
PAN,Fencing,11334,1
POL,Fencing,11335,8
ROU,Fencing,11336,9
RUS,Fencing,11337,31
SEN,Fencing,11338,1
SUI,Fencing,11339,8
TUN,Fencing,11340,5
TUR,Fencing,11341,1
UKR,Fencing,11342,23
USA,Fencing,11343,26
VEN,Fencing,11344,10
VIE,Fencing,11345,4
ALG,Football,12219,18
ARG,Football,12220,16
AUS,Football,12221,17
BRA,Football,12222,35
CAN,Football,12223,18
CHN,Football,12224,15
COL,Football,12225,33
DEN,Football,12226,17
FIJ,Football,12227,16
FRA,Football,12228,17
GER,Football,12229,35
HON,Football,12230,16
IRQ,Football,12231,16
JPN,Football,12232,17
KOR,Football,12233,17
MEX,Football,12234,18
NGR,Football,12235,18
NZL,Football,12236,16
POR,Football,12237,17
RSA,Football,12238,34
SWE,Football,12239,33
USA,Football,12240,17
ZIM,Football,12241,17
ARG,Golf,12413,2
AUS,Golf,12414,4
AUT,Golf,12415,2
BAN,Golf,12416,1
BEL,Golf,12417,3
BRA,Golf,12418,3
CAN,Golf,12419,4
CHI,Golf,12420,1
CHN,Golf,12421,4
COL,Golf,12422,1
CZE,Golf,12423,1
DEN,Golf,12424,4
ESP,Golf,12425,4
FIN,Golf,12426,4
FRA,Golf,12427,4
GBR,Golf,12428,4
GER,Golf,12429,4
HKG,Golf,12430,1
IND,Golf,12431,3
IRL,Golf,12432,4
ISR,Golf,12433,1
