,"(1896, '1')","(1896, '2')","(1896, '3')","(1900, '1')","(1900, '2')","(1900, '3')","(1904, '1')","(1904, '2')","(1904, '3')","(1906, '1')","(1906, '2')","(1906, '3')","(1908, '1')","(1908, '2')","(1908, '3')","(1912, '1')","(1912, '2')","(1912, '3')","(1920, '1')","(1920, '2')","(1920, '3')","(1924, '1')","(1924, '2')","(1924, '3')","(1928, '1')","(1928, '2')","(1928, '3')","(1932, '1')","(1932, '2')","(1932, '3')","(1936, '1')","(1936, '2')","(1936, '3')","(1948, '1')","(1948, '2')","(1948, '3')","(1952, '1')","(1952, '2')","(1952, '3')","(1956, '1')","(1956, '2')","(1956, '3')","(1960, '1')","(1960, '2')","(1960, '3')","(1964, '1')","(1964, '2')","(1964, '3')","(1968, '1')","(1968, '2')","(1968, '3')","(1972, '1')","(1972, '2')","(1972, '3')","(1976, '1')","(1976, '2')","(1976, '3')","(1980, '1')","(1980, '2')","(1980, '3')","(1984, '1')","(1984, '2')","(1984, '3')","(1988, '1')","(1988, '2')","(1988, '3')","(1992, '1')","(1992, '2')","(1992, '3')","(1994, '1')","(1994, '2')","(1994, '3')","(1996, '1')","(1996, '2')","(1996, '3')","(1998, '1')","(1998, '2')","(1998, '3')","(2000, '1')","(2000, '2')","(2000, '3')","(2002, '1')","(2002, '2')","(2002, '3')","(2004, '1')","(2004, '2')","(2004, '3')","(2006, '1')","(2006, '2')","(2006, '3')","(2008, '1')","(2008, '2')","(2008, '3')","(2010, '1')","(2010, '2')","(2010, '3')","(2012, '1')","(2012, '2')","(2012, '3')","(2014, '1')","(2014, '2')","(2014, '3')","(2016, '1')","(2016, '2')","(2016, '3')"
1241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,THA,Athletics,5,POL,Luge,2,,,,SEN,Wrestling,2,,,,ROU,Canoeing,21,,,,POR,Triathlon,1,,,,POL,Athletics,67,,,,NZL,Sailing,15,,,,NCA,Swimming,2
1242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,THA,Boxing,6,POL,Modern Pentathlon,6,,,,SEY,Athletics,2,,,,ROU,Diving,4,,,,POR,Wrestling,1,,,,POL,Badminton,6,,,,NZL,Shooting,1,,,,NCA,Weightlifting,1
1243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,THA,Sailing,1,POL,Nordic Combined,2,,,,SEY,Boxing,3,,,,ROU,Fencing,8,,,,PRK,Athletics,4,,,,POL,Boxing,2,,,,NZL,Swimming,31,,,,NED,Archery,6
1244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,THA,Shooting,3,POL,Rhythmic Gymnastics,2,,,,SEY,Sailing,2,,,,ROU,Gymnastics,69,,,,PRK,Boxing,2,,,,POL,Canoeing,27,,,,NZL,Taekwondo,3,,,,NED,Athletics,38
1245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TOG,Athletics,3,POL,Rowing,15,,,,SEY,Swimming,1,,,,ROU,Handball,14,,,,PRK,Diving,4,,,,POL,Cycling,14,,,,NZL,Tennis,1,,,,NED,Badminton,4
1246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TOG,Boxing,3,POL,Sailing,4,,,,SEY,Weightlifting,1,,,,ROU,Judo,7,,,,PRK,Gymnastics,38,,,,POL,Equestrianism,3,,,,NZL,Triathlon,6,,,,NED,Beach Volleyball,8
1247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TPE,Alpine Skiing,10,POL,Shooting,18,,,,SGP,Athletics,2,,,,ROU,Modern Pentathlon,1,,,,PRK,Judo,6,,,,POL,Fencing,22,,,,NZL,Weightlifting,1,,,,NED,Boxing,3
1248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TPE,Archery,12,POL,Ski Jumping,1,,,,SGP,Badminton,1,,,,ROU,Rowing,32,,,,PRK,Shooting,6,,,,POL,Gymnastics,6,,,,OMA,Athletics,2,,,,NED,Cycling,38
1249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TPE,Athletics,25,POL,Speed Skating,9,,,,SGP,Sailing,4,,,,ROU,Shooting,5,,,,PRK,Table Tennis,6,,,,POL,Handball,14,,,,OMA,Shooting,1,,,,NED,Diving,1
1250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TPE,Bobsleigh,8,POL,Swimming,33,,,,SGP,Shooting,1,,,,ROU,Swimming,36,,,,PRK,Weightlifting,4,,,,POL,Judo,7,,,,PAK,Athletics,2,,,,NED,Equestrianism,24
1251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TPE,Boxing,2,POL,Table Tennis,4,,,,SGP,Swimming,26,,,,ROU,Table Tennis,5,,,,PRK,Wrestling,1,,,,POL,Modern Pentathlon,4,,,,PAK,Hockey,16,,,,NED,Fencing,1
1252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TPE,Cycling,6,POL,Tennis,3,,,,SGP,Table Tennis,1,,,,ROU,Tennis,4,,,,PUR,Athletics,3,,,,POL,Rhythmic Gymnastics,1,,,,PAK,Shooting,1,,,,NED,Golf,1
1253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TPE,Fencing,4,POL,Weightlifting,9,,,,SKN,Athletics,14,,,,ROU,Weightlifting,5,,,,PUR,Basketball,12,,,,POL,Rowing,20,,,,PAK,Swimming,2,,,,NED,Gymnastics,45
1254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TPE,Figure Skating,2,POL,Wrestling,13,,,,SLE,Athletics,17,,,,ROU,Wrestling,5,,,,PUR,Beach Volleyball,2,,,,POL,Sailing,11,,,,PAN,Athletics,3,,,,NED,Handball,14
