,Age,Sport,count
430,22.0,Modern Pentathlon,108
431,22.0,Nordic Combined,139
432,22.0,Polo,1
433,22.0,Rhythmic Gymnastics,34
434,22.0,Rowing,941
435,22.0,Rugby,9
436,22.0,Rugby Sevens,25
437,22.0,Sailing,261
438,22.0,Shooting,258
439,22.0,Short Track Speed Skating,139
440,22.0,Skeleton,3
441,22.0,Ski Jumping,244
442,22.0,Snowboarding,82
443,22.0,Softball,26
444,22.0,Speed Skating,515
445,22.0,Swimming,2015
446,22.0,Synchronized Swimming,114
447,22.0,Table Tennis,113
448,22.0,Taekwondo,54
449,22.0,Tennis,219
450,22.0,Trampolining,8
451,22.0,Triathlon,22
452,22.0,Tug-Of-War,6
453,22.0,Volleyball,297
454,22.0,Water Polo,285
455,22.0,Weightlifting,316
456,22.0,Wrestling,539
457,23.0,Alpine Skiing,900
458,23.0,Archery,168
459,23.0,Art Competitions,22
460,23.0,Athletics,3744
461,23.0,Badminton,118
462,23.0,Baseball,72
463,23.0,Basketball,416
464,23.0,Beach Volleyball,20
465,23.0,Biathlon,395
466,23.0,Bobsleigh,147
467,23.0,Boxing,620
468,23.0,Canoeing,552
469,23.0,Cross Country Skiing,841
470,23.0,Curling,24
471,23.0,Cycling,1051
472,23.0,Diving,223
473,23.0,Equestrianism,142
474,23.0,Fencing,653
475,23.0,Figure Skating,171
476,23.0,Football,841
477,23.0,Freestyle Skiing,89
478,23.0,Golf,11
479,23.0,Gymnastics,1942
480,23.0,Handball,306
481,23.0,Hockey,478
482,23.0,Ice Hockey,494
483,23.0,Judo,350
484,23.0,Lacrosse,2
485,23.0,Luge,129
486,23.0,Military Ski Patrol,1
487,23.0,Modern Pentathlon,143
488,23.0,Nordic Combined,154
489,23.0,Racquets,1
490,23.0,Rhythmic Gymnastics,23
491,23.0,Rowing,954
492,23.0,Rugby,17
493,23.0,Rugby Sevens,29
494,23.0,Sailing,318
495,23.0,Shooting,325
496,23.0,Short Track Speed Skating,151
497,23.0,Skeleton,6
498,23.0,Ski Jumping,225
499,23.0,Snowboarding,78
500,23.0,Softball,40
501,23.0,Speed Skating,554
502,23.0,Swimming,1698
503,23.0,Synchronized Swimming,98
504,23.0,Table Tennis,145
505,23.0,Taekwondo,52
506,23.0,Tennis,234
507,23.0,Trampolining,24
508,23.0,Triathlon,24
509,23.0,Tug-Of-War,10
510,23.0,Volleyball,337
511,23.0,Water Polo,313
512,23.0,Weightlifting,386
513,23.0,Wrestling,614
514,24.0,Alpine Skiing,895
515,24.0,Archery,138
516,24.0,Art Competitions,41
517,24.0,Athletics,3597
518,24.0,Badminton,155
519,24.0,Baseball,79
520,24.0,Basketball,442
521,24.0,Beach Volleyball,25
522,24.0,Biathlon,468
523,24.0,Bobsleigh,183
524,24.0,Boxing,527
525,24.0,Canoeing,563
526,24.0,Cricket,5
527,24.0,Cross Country Skiing,857
528,24.0,Curling,18
529,24.0,Cycling,942
530,24.0,Diving,200
531,24.0,Equestrianism,176
532,24.0,Fencing,641
533,24.0,Figure Skating,156
534,24.0,Football,496
535,24.0,Freestyle Skiing,90
536,24.0,Golf,8
537,24.0,Gymnastics,2347
538,24.0,Handball,328
539,24.0,Hockey,554
540,24.0,Ice Hockey,477
541,24.0,Judo,381
542,24.0,Lacrosse,3
543,24.0,Luge,149
544,24.0,Military Ski Patrol,2
545,24.0,Modern Pentathlon,142
546,24.0,Nordic Combined,142
547,24.0,Polo,4
548,24.0,Rhythmic Gymnastics,15
549,24.0,Rowing,960
550,24.0,Rugby,13
551,24.0,Rugby Sevens,33
552,24.0,Sailing,384
553,24.0,Shooting,367
554,24.0,Short Track Speed Skating,158
555,24.0,Skeleton,11
556,24.0,Ski Jumping,228
557,24.0,Snowboarding,87
558,24.0,Softball,58
559,24.0,Speed Skating,608
560,24.0,Swimming,1326
561,24.0,Synchronized Swimming,78
562,24.0,Table Tennis,157
563,24.0,Taekwondo,58
564,24.0,Tennis,224
565,24.0,Trampolining,11
566,24.0,Triathlon,34
567,24.0,Tug-Of-War,8
568,24.0,Volleyball,343
569,24.0,Water Polo,327
570,24.0,Weightlifting,355
571,24.0,Wrestling,646
572,25.0,Alpine Skiing,701
573,25.0,Archery,124
574,25.0,Art Competitions,25
575,25.0,Athletics,3431
576,25.0,Badminton,142
577,25.0,Baseball,67
578,25.0,Basketball,420
579,25.0,Beach Volleyball,42
580,25.0,Biathlon,453
581,25.0,Bobsleigh,221
582,25.0,Boxing,478
583,25.0,Canoeing,534
584,25.0,Cricket,1
585,25.0,Cross Country Skiing,794
586,25.0,Curling,30
587,25.0,Cycling,858
588,25.0,Diving,200
589,25.0,Equestrianism,228
590,25.0,Fencing,696
591,25.0,Figure Skating,147
592,25.0,Football,432
593,25.0,Freestyle Skiing,68
594,25.0,Golf,9
595,25.0,Gymnastics,1631
596,25.0,Handball,324
597,25.0,Hockey,501
598,25.0,Ice Hockey,498
599,25.0,Judo,397
600,25.0,Lacrosse,6
601,25.0,Luge,106
602,25.0,Military Ski Patrol,4
603,25.0,Modern Pentathlon,170
604,25.0,Nordic Combined,118
605,25.0,Racquets,2
606,25.0,Rhythmic Gymnastics,8
607,25.0,Rowing,988
608,25.0,Rugby,14
609,25.0,Rugby Sevens,28
610,25.0,Sailing,401
611,25.0,Shooting,411
612,25.0,Short Track Speed Skating,120
613,25.0,Skeleton,15
614,25.0,Ski Jumping,202
615,25.0,Snowboarding,57
616,25.0,Softball,37
617,25.0,Speed Skating,449
618,25.0,Swimming,965
619,25.0,Synchronized Swimming,79
620,25.0,Table Tennis,139
621,25.0,Taekwondo,53
622,25.0,Tennis,214
623,25.0,Trampolining,8
624,25.0,Triathlon,43
625,25.0,Tug-Of-War,4
626,25.0,Volleyball,331
627,25.0,Water Polo,326
628,25.0,Weightlifting,313
629,25.0,Wrestling,644
630,26.0,Aeronautics,1
631,26.0,Alpine Skiing,494
632,26.0,Archery,121
633,26.0,Art Competitions,40
634,26.0,Athletics,3045
635,26.0,Badminton,157
636,26.0,Baseball,68
637,26.0,Basketball,369
638,26.0,Basque Pelota,2
639,26.0,Beach Volleyball,45
640,26.0,Biathlon,444
641,26.0,Bobsleigh,272
642,26.0,Boxing,368
643,26.0,Canoeing,462
644,26.0,Cricket,2
645,26.0,Cross Country Skiing,781
646,26.0,Curling,22
647,26.0,Cycling,649
648,26.0,Diving,151
649,26.0,Equestrianism,208
650,26.0,Fencing,658
651,26.0,Figure Skating,129
652,26.0,Football,418
653,26.0,Freestyle Skiing,71
654,26.0,Golf,13
655,26.0,Gymnastics,1464
656,26.0,Handball,330
657,26.0,Hockey,471
658,26.0,Ice Hockey,455
659,26.0,Judo,349
660,26.0,Lacrosse,3
661,26.0,Luge,89
662,26.0,Military Ski Patrol,2
663,26.0,Modern Pentathlon,134
664,26.0,Motorboating,3
665,26.0,Nordic Combined,106
666,26.0,Polo,2
667,26.0,Rhythmic Gymnastics,4
668,26.0,Rowing,923
669,26.0,Rugby,11
670,26.0,Rugby Sevens,26
671,26.0,Sailing,371
672,26.0,Shooting,437
673,26.0,Short Track Speed Skating,85
674,26.0,Skeleton,13
675,26.0,Ski Jumping,142
676,26.0,Snowboarding,76
677,26.0,Softball,59
678,26.0,Speed Skating,409
679,26.0,Swimming,691
680,26.0,Synchronized Swimming,55
681,26.0,Table Tennis,123
682,26.0,Taekwondo,43
683,26.0,Tennis,213
684,26.0,Trampolining,10
685,26.0,Triathlon,44
686,26.0,Tug-Of-War,7
687,26.0,Volleyball,313
688,26.0,Water Polo,276
689,26.0,Weightlifting,322
690,26.0,Wrestling,624
691,27.0,Alpine Skiing,463
692,27.0,Alpinism,2
693,27.0,Archery,113
694,27.0,Art Competitions,47
695,27.0,Athletics,2747
696,27.0,Badminton,125
697,27.0,Baseball,67
698,27.0,Basketball,372
699,27.0,Beach Volleyball,50
700,27.0,Biathlon,383
701,27.0,Bobsleigh,244
702,27.0,Boxing,288
703,27.0,Canoeing,446
704,27.0,Cross Country Skiing,730
705,27.0,Curling,28
706,27.0,Cycling,646
707,27.0,Diving,143
708,27.0,Equestrianism,234
709,27.0,Fencing,608
710,27.0,Figure Skating,79
711,27.0,Football,327
712,27.0,Freestyle Skiing,62
713,27.0,Golf,9
714,27.0,Gymnastics,1144
715,27.0,Handball,335
716,27.0,Hockey,443
717,27.0,Ice Hockey,443
718,27.0,Judo,283
719,27.0,Lacrosse,2
720,27.0,Luge,91
721,27.0,Modern Pentathlon,149
722,27.0,Motorboating,1
723,27.0,Nordic Combined,101
724,27.0,Polo,1
725,27.0,Rhythmic Gymnastics,2
726,27.0,Rowing,742
727,27.0,Rugby,5
728,27.0,Rugby Sevens,22
729,27.0,Sailing,402
730,27.0,Shooting,433
731,27.0,Short Track Speed Skating,79
732,27.0,Skeleton,10
733,27.0,Ski Jumping,143
734,27.0,Snowboarding,78
735,27.0,Softball,47
736,27.0,Speed Skating,386
737,27.0,Swimming,561
738,27.0,Synchronized Swimming,29
739,27.0,Table Tennis,151
740,27.0,Taekwondo,40
741,27.0,Tennis,192
742,27.0,Trampolining,15
743,27.0,Triathlon,46
744,27.0,Tug-Of-War,8
745,27.0,Volleyball,285
746,27.0,Water Polo,288
747,27.0,Weightlifting,311
748,27.0,Wrestling,544
749,28.0,Alpine Skiing,366
750,28.0,Archery,94
751,28.0,Art Competitions,43
752,28.0,Athletics,2288
753,28.0,Badminton,115
754,28.0,Baseball,71
755,28.0,Basketball,306
756,28.0,Beach Volleyball,42
757,28.0,Biathlon,440
758,28.0,Bobsleigh,249
759,28.0,Boxing,215
760,28.0,Canoeing,413
761,28.0,Cross Country Skiing,716
762,28.0,Curling,25
763,28.0,Cycling,533
764,28.0,Diving,91
765,28.0,Equestrianism,281
766,28.0,Fencing,632
767,28.0,Figure Skating,67
768,28.0,Football,305
769,28.0,Freestyle Skiing,53
770,28.0,Golf,14
771,28.0,Gymnastics,967
772,28.0,Handball,301
773,28.0,Hockey,400
774,28.0,Ice Hockey,339
775,28.0,Judo,308
776,28.0,Luge,84
777,28.0,Military Ski Patrol,1
778,28.0,Modern Pentathlon,118
779,28.0,Nordic Combined,84
780,28.0,Polo,5
781,28.0,Rhythmic Gymnastics,1
782,28.0,Rowing,617
783,28.0,Rugby,4
784,28.0,Rugby Sevens,31
785,28.0,Sailing,374
786,28.0,Shooting,493
787,28.0,Short Track Speed Skating,57
788,28.0,Skeleton,11
789,28.0,Ski Jumping,118
790,28.0,Snowboarding,49
791,28.0,Softball,34
792,28.0,Speed Skating,327
793,28.0,Swimming,361
794,28.0,Synchronized Swimming,21
795,28.0,Table Tennis,123
796,28.0,Taekwondo,41
797,28.0,Tennis,189
798,28.0,Trampolining,9
799,28.0,Triathlon,45
800,28.0,Tug-Of-War,3
801,28.0,Volleyball,206
802,28.0,Water Polo,248
803,28.0,Weightlifting,248
804,28.0,Wrestling,467
805,29.0,Alpine Skiing,282
806,29.0,Archery,69
807,29.0,Art Competitions,76
808,29.0,Athletics,1795
809,29.0,Badminton,82
810,29.0,Baseball,48
811,29.0,Basketball,249
812,29.0,Beach Volleyball,56
813,29.0,Biathlon,319
814,29.0,Bobsleigh,236
815,29.0,Boxing,150
816,29.0,Canoeing,333
817,29.0,Cricket,1
