,Height,Sport,count
742,165.0,Rowing,83
743,165.0,Rugby,3
744,165.0,Rugby Sevens,15
745,165.0,Sailing,105
746,165.0,Shooting,280
747,165.0,Short Track Speed Skating,83
748,165.0,Skeleton,2
749,165.0,Ski Jumping,43
750,165.0,Snowboarding,59
751,165.0,Softball,36
752,165.0,Speed Skating,138
753,165.0,Swimming,473
754,165.0,Synchronized Swimming,81
755,165.0,Table Tennis,103
756,165.0,Taekwondo,17
757,165.0,Tennis,58
758,165.0,Trampolining,12
759,165.0,Triathlon,16
760,165.0,Volleyball,8
761,165.0,Water Polo,8
762,165.0,Weightlifting,169
763,165.0,Wrestling,323
764,166.0,Alpine Skiing,94
765,166.0,Archery,31
766,166.0,Art Competitions,1
767,166.0,Athletics,517
768,166.0,Badminton,31
769,166.0,Baseball,1
770,166.0,Basketball,20
771,166.0,Beach Volleyball,1
772,166.0,Biathlon,123
773,166.0,Bobsleigh,7
774,166.0,Boxing,93
775,166.0,Canoeing,54
776,166.0,Cross Country Skiing,147
777,166.0,Curling,5
778,166.0,Cycling,97
779,166.0,Diving,64
780,166.0,Equestrianism,66
781,166.0,Fencing,91
782,166.0,Figure Skating,23
783,166.0,Football,65
784,166.0,Freestyle Skiing,26
785,166.0,Golf,1
786,166.0,Gymnastics,717
787,166.0,Handball,28
788,166.0,Hockey,73
789,166.0,Ice Hockey,69
790,166.0,Judo,50
791,166.0,Luge,26
792,166.0,Modern Pentathlon,10
793,166.0,Nordic Combined,5
794,166.0,Rhythmic Gymnastics,33
795,166.0,Rowing,25
796,166.0,Rugby Sevens,6
797,166.0,Sailing,42
798,166.0,Shooting,100
799,166.0,Short Track Speed Skating,46
800,166.0,Ski Jumping,9
801,166.0,Snowboarding,19
802,166.0,Softball,21
803,166.0,Speed Skating,80
804,166.0,Swimming,327
805,166.0,Synchronized Swimming,35
806,166.0,Table Tennis,91
807,166.0,Taekwondo,6
808,166.0,Tennis,27
809,166.0,Trampolining,2
810,166.0,Triathlon,22
811,166.0,Volleyball,13
812,166.0,Water Polo,7
813,166.0,Weightlifting,46
814,166.0,Wrestling,125
815,167.0,Alpine Skiing,227
816,167.0,Archery,72
817,167.0,Athletics,789
818,167.0,Badminton,42
819,167.0,Basketball,11
820,167.0,Beach Volleyball,1
821,167.0,Biathlon,117
822,167.0,Bobsleigh,12
823,167.0,Boxing,167
824,167.0,Canoeing,107
825,167.0,Cross Country Skiing,322
826,167.0,Curling,10
827,167.0,Cycling,180
828,167.0,Diving,104
829,167.0,Equestrianism,134
830,167.0,Fencing,118
831,167.0,Figure Skating,54
832,167.0,Football,85
833,167.0,Freestyle Skiing,35
834,167.0,Golf,3
835,167.0,Gymnastics,930
836,167.0,Handball,32
837,167.0,Hockey,126
838,167.0,Ice Hockey,45
839,167.0,Judo,95
840,167.0,Luge,25
841,167.0,Modern Pentathlon,24
842,167.0,Nordic Combined,20
843,167.0,Rhythmic Gymnastics,53
844,167.0,Rowing,42
845,167.0,Rugby,5
846,167.0,Rugby Sevens,7
847,167.0,Sailing,82
848,167.0,Shooting,177
849,167.0,Short Track Speed Skating,47
850,167.0,Skeleton,6
851,167.0,Ski Jumping,50
852,167.0,Snowboarding,24
853,167.0,Softball,25
854,167.0,Speed Skating,235
855,167.0,Swimming,415
856,167.0,Synchronized Swimming,58
857,167.0,Table Tennis,44
858,167.0,Taekwondo,13
859,167.0,Tennis,39
860,167.0,Trampolining,13
861,167.0,Triathlon,18
862,167.0,Volleyball,22
863,167.0,Water Polo,20
864,167.0,Weightlifting,127
865,167.0,Wrestling,170
866,168.0,Alpine Skiing,349
867,168.0,Archery,115
868,168.0,Art Competitions,1
869,168.0,Athletics,1460
870,168.0,Badminton,48
871,168.0,Baseball,1
872,168.0,Basketball,21
873,168.0,Beach Volleyball,5
874,168.0,Biathlon,183
875,168.0,Bobsleigh,32
876,168.0,Boxing,228
877,168.0,Canoeing,148
878,168.0,Cross Country Skiing,402
879,168.0,Curling,17
880,168.0,Cycling,296
881,168.0,Diving,131
882,168.0,Equestrianism,271
883,168.0,Fencing,254
884,168.0,Figure Skating,69
885,168.0,Football,162
886,168.0,Freestyle Skiing,47
887,168.0,Golf,16
888,168.0,Gymnastics,972
889,168.0,Handball,60
890,168.0,Hockey,191
891,168.0,Ice Hockey,91
892,168.0,Judo,140
893,168.0,Lacrosse,1
894,168.0,Luge,42
895,168.0,Modern Pentathlon,14
896,168.0,Nordic Combined,12
897,168.0,Rhythmic Gymnastics,49
898,168.0,Rowing,84
899,168.0,Rugby,1
900,168.0,Rugby Sevens,15
901,168.0,Sailing,143
902,168.0,Shooting,377
903,168.0,Short Track Speed Skating,73
904,168.0,Skeleton,2
905,168.0,Ski Jumping,49
906,168.0,Snowboarding,41
907,168.0,Softball,41
908,168.0,Speed Skating,214
909,168.0,Swimming,619
910,168.0,Synchronized Swimming,86
911,168.0,Table Tennis,93
912,168.0,Taekwondo,21
913,168.0,Tennis,59
914,168.0,Trampolining,15
915,168.0,Triathlon,31
916,168.0,Volleyball,37
917,168.0,Water Polo,22
918,168.0,Weightlifting,123
919,168.0,Wrestling,237
920,169.0,Alpine Skiing,169
921,169.0,Archery,65
922,169.0,Athletics,563
923,169.0,Badminton,51
924,169.0,Baseball,3
925,169.0,Basketball,6
926,169.0,Beach Volleyball,3
927,169.0,Biathlon,58
928,169.0,Bobsleigh,8
929,169.0,Boxing,120
930,169.0,Canoeing,119
931,169.0,Cross Country Skiing,186
932,169.0,Curling,19
933,169.0,Cycling,125
934,169.0,Diving,52
935,169.0,Equestrianism,119
936,169.0,Fencing,151
937,169.0,Figure Skating,21
938,169.0,Football,107
939,169.0,Freestyle Skiing,21
940,169.0,Golf,3
941,169.0,Gymnastics,665
942,169.0,Handball,37
943,169.0,Hockey,93
944,169.0,Ice Hockey,67
945,169.0,Judo,74
946,169.0,Luge,21
947,169.0,Modern Pentathlon,15
948,169.0,Nordic Combined,43
949,169.0,Polo,1
950,169.0,Rhythmic Gymnastics,21
951,169.0,Rowing,35
952,169.0,Rugby Sevens,7
953,169.0,Sailing,71
954,169.0,Shooting,183
955,169.0,Short Track Speed Skating,48
956,169.0,Skeleton,6
957,169.0,Ski Jumping,52
958,169.0,Snowboarding,31
959,169.0,Softball,15
960,169.0,Speed Skating,98
961,169.0,Swimming,359
962,169.0,Synchronized Swimming,51
963,169.0,Table Tennis,24
964,169.0,Taekwondo,8
965,169.0,Tennis,43
966,169.0,Trampolining,3
967,169.0,Triathlon,12
968,169.0,Volleyball,24
969,169.0,Water Polo,16
970,169.0,Weightlifting,51
971,169.0,Wrestling,132
972,170.0,Alpine Skiing,425
